"Company","Ticker"
"DCP Midstream Partners, LP", "DPM"
"Decatur County", "None"
"Deere and Company", "DE"
"Deerfield Production and Refining, Inc.", "None"
"Deer Park Refining Limited Partnership", "None"
"Deffenbaugh Industries, Inc.", "None"
"Defiance County, Board of Commissioners", "None"
"DeKalb County Public Works Department Sanitation Division", "None"
"Delaware City Refining Company", "PBF"
"Delaware County Solid Waste Authority", "None"
"Delaware Municiple Electric Corporation", "None"
"Delaware Solid Waste Authority", "None"
"Delek US Holdings", "DK"
"Del Monte Corporation", "DLM"
"DELTA AIR LINES, INC.", "DAL"
"Delta Solid Waste Management Authority", "None"
"Deltech Acquisition Corporation", "None"
"Denbury Resources, Inc. (2010)", "DNR"
"DENCO II, LLC", "None"
"Denver City Energy Associates", "None"
"Department of Energy", "None"
"Department of Sanitation Services, City of Dallas, Texas", "None"
"Department of the Air Force", "None"
"Deschutes County", "None"
"Deseret Generation and Transmission Cooperative", "None"
"Deseret Generation Transmission and Cooperative", "None"
"D.E. Shaw Synoptic Acquisition I, LLC", "None"
"Des Moines County Regional Solid Waste Commission", "None"
"DeSoto Parish Police Jury", "None"
"Detroit Renewable Energy LLC", "None"
"Development Authority of the North Country", "None"
"Devon Energy", "DVN"
"Devon Gas Services, L.P.", "DVN"
"Diamond Generating Corporation", "None"
"Dicalite Minerals Corp", "None"
"Didion Milling Inc.", "None"
"DiGeronimo Aggregates, LLC", "None"
"Direct Energy LP", "None"
"District Energy Corporation", "None"
"District Energy St. Paul", "None"
"Dixie Chemical Company", "None"
"Doe Run Resources Company", "None"
"Dofasco Holdings Inc. [dba. ArcelorMittal Tubular Products USA Corporation]", "MT"
"Dogwood Power Management, LLC", "None"
"DOMINION RESOURCES INC", "D"
"Domtar Corporation", "UFS"
"Domtar Paper Company, LLC.", "UFS"
"Double C Limited", "None"
"Dougherty County Board of Commissioners", "None"
"Douglas County Public Works", "None"
"Dow Chemical Company", "DOW"
"Dow Corning Corporation", "DOW"
"Doyon Utilities", "None"
"DPL Energy, LLC", "None"
"Drummond Co Inc", "None"
"Drummond Dolomite", "None"
"DSM Chemicals Holding Company, Inc.", "RDSMY"
"DSM PHARMACEUTICAL PRODUCTS", "RDSMY"
"DTE Energy", "DTE"
"DTE Energy Company", "DTE"
"DTE Energy Services", "DTE"
"Dubuque Metropolitan Area Solid Waste Agency", "None"
"Duferco US Investment Corp.", "None"
"Duke Energy Corporation", "DUK"
"Duke Energy Generation Services, Inc.", "DUK"
"Duke University", "None"
"Dunn Paper Inc", "None"
"Duquesne Generation LLC", "None"
"Duquesne University", "None"
"Dutchess County Resource Recovery Agency", "None"
"Dynamic Offshore Resources, LLC", "None"
"Dynegy, Inc.", "DYN"
"Dyno Nobel Inc.", "None"
"Eagle County Solid Waste and Recycling", "None"
"Eagle Materials, Inc.", "EXP"
"Eagle Rock Field Services, L.P.", "None"
"Eagle Rock Operating, L.P.", "None"
"E and J Gallo Winery", "None"
"EandJ Gallo Winery INC.", "SAM"
"East Bay Regional Parks District", "None"
"East Central Solid Waste Commission", "None"
"Eastern Connecticut Resource Recovery Authority", "None"
"Eastern Michigan University", "None"
"East Jordan Iron Works, Inc.", "None"
"East Kansas Agri-Energy, LLC", "None"
"East Kentucky Power Cooperative", "None"
"EASTMAN CHEMICAL CO", "EMN"
"EASTMAN CHEMICAL COMPANY", "EMN"
"Eastman Kodak Company", "KODK"
"East Penn Manufacturing co., inc.", "None"
"East Texas Electrical Cooperative, Inc.", "None"
"East Texas Electric Cooperative, Inc.", "None"
"Ebensburg Power Company", "None"
"Ecobat", "None"
"ECO BAT INDIANA, LLC", "None"
"EcoElectrica, LP", "None"
"ecomaine", "None"
"Edgeboro Inc. - the Parent Company of the Reporting Entity (Edgeboro Disposal Inc.)", "None"
"Edgecombe County Solid Waste Department", "None"
"Edgewood Energy LLC", "None"
"Edison International", "EIX"
"Edison Mission Energy Company", "None"
"E Energy Adams, LLC", "None"
"Effingham County Power", "None"
"Egan Hub Storage, LLC", "None"
"E. I duPont de Nemours and Company", "DD"
"E.I. duPont de Nemours Company", "DD"
"E.I. duPont Nemours and Company", "DD"
"EIF Berkshire Holdings, LLC", "None"
"EIF Mojave Holdings, LLC", "None"
"EIF Morgantown Holdings, LLC", "None"
"EKA CHEMICALS INC", "None"
"El Cajon Energy, LP", "None"
"Elementis PLC", "ELMYY"
"Eli Lilly and Company", "LLY"
"Elkhart County Landfill", "None"
"Elliott Construction Company", "None"
"Ellwood Group", "None"
"Ellwood Group, Inc.", "None"
"Elmwood Park Power LLC", "None"
"El Paso Corporation", "EP"
"El Paso Electric Company", "EE"
"El Paso Midstream Investment Company, LLC", "None"
"Emerald Performance Materials, LLC", "None"
"Emery Oleochemicals LLC", "None"
"Emory University", "None"
"Empeco IV, LLC and USPF II Ferndale Holdings, LLC", "None"
"Enbridge Energy Partners", "EEP"
"Enbridge Energy Partners, L.P.", "EEP"
"Enbridge (U.S.) Inc.", "ENB"
"Encana Oil and Gas (USA) Inc.", "ECA"
"Energetix LLC", "None"
"Energy Partners of Delaware, Ltd.", "None"
"Energy Systems Co.", "None"
"Energy Transfer Partners LP", "ETP"
"Energy XXI GOM LLC", "EXXI"
"Enerprise Field Services, LLC", "None"
"Enkei America, Inc.", "None"
"Enogex Holdings LLC", "None"
"Enpower Corp", "None"
"Entergy", "ETR"
"Entergy Corporation", "ETR"
"Enterprise Field Services, LLC", "None"
"Enterprise Gas Processing, LLC", "None"
"Enterprise Hydrocarbons, L.P.", "None"
"Enterprise Products Operating, LLC", "EPD"
"Enterprise Products Operating LP", "EPD"
"Enterprise South Texas Gathering, L.P.", "None"
"Environmental Logistics Services, LLC", "None"
"Enviro Solutions Inc.", "None"
"EOG Resources, Inc.", "EOG"
"EP Management Corporation", "None"
"Epsilon Power Partners, LLC (Atlantic Power Generation", "AT"
"EQ - The Environmental Quality Company", "None"
"EquiPower Resources Corp", "EQ"
"Equus Power 1, LP", "None"
"Erachem Comilog, Inc.", "None"
"Eramet Marietta Inc.", "ERMAY"
"Ergon", "None"
"Ergon, Inc.", "None"
"Erie County Board of Commissioners", "None"
"Erving Industries", "None"
"Escambia Asset Co. LLC", "None"
"Escambia County Board of County Commissioners", "None"
"Escambia County Environmental Corporation", "None"
"Escondido Energy Center, LLC", "None"
"ESSROC CEMENT CO", "None"
"Essroc Cement Company", "None"
"Essroc Cement Corporation", "None"
"Essroc Italcementi Group", "None"
"Eurofresh, Inc.", "None"
"Ever-Green Energy, LLC", "None"
"Evonik Degussa Corporation", "EVKIF"
"Evonik Goldschmidt Corporation", "EVKIF"
"Evonik Stockhausen, LLC", "EVKIF"
"EVRAZ Inc. NA", "EVRZF"
"Excide Technologies", "XIDEQ"
"Exelon", "EXC"
"EXELON CORP", "EXC"
"Exelon Corporation", "EXC"
"Exide Technologies", "XIDEQ"
"Exterran Holdings, Inc.", "EXH"
"Exterran Holdins, Inc.", "EXH"
"ExxonMobil", "XOM"
"EXXONMOBIL CORP", "XOM"
"Exxon Mobil Corporation", "XOM"
"Exxon Mobil Oil Corporation", "XOM"
"Fairbanks North Star Borough", "None"
"Fairfax County Government", "None"
"FAIRMOUNT MINERALS LTD.", "None"
"Farmers Union Industries, LLC", "None"
"Farmland Foods, Inc.", "None"
"Fauquier County, Virginia", "None"
"Fayette County Transfer Station", "None"
"Felman Production, Inc.", "None"
"Fibrek", "None"
"Fibrek U.S. Inc.", "None"
"Firestone Polymers, LLC", "BRDCY"
"FIRSTENERGY GENERATION CORP", "FE"
"FirstEnergy Generation, LLC", "FE"
"First Quality Tissue, LLC", "None"
"FJ Management Inc.", "None"
"Flakeboard America", "None"
"Flakeboard  America Limited", "None"
"Flambeau River Papers LLC", "None"
"Flathead County Solid Waste", "None"
"Florida Crystals Corporation", "None"
"Florida Gas Transmission Company", "FGT"
"Florida Municipal Power Agency", "None"
"Florida Power and Light Co (FPL)", "NEE"
"Florida Power and Light Company", "NEE"
"Florida State University", "None"
"Florim USA Inc.", "None"
"Floyd County Board of Commissioners", "None"
"FMC Corporate", "FMC"
"FMC Corporation", "FMC"
"Ford County Government", "None"
"Ford Motor Company", "F"
"Forest Preserve District of Dupage county", "None"
"Formosa Hydrocarbons Company, Inc.", "None"
"Formosa Plastics Corporation USA", "None"
"Formosa Plastics Corp, USA", "None"
"Fortistar", "None"
"Fortistar Channelview LLC", "None"
"Fortistar Methane Group", "None"
"Fortistar North Tonawanda, Inc.", "None"
"Fortress Investment Group", "FIG"
"Fortune Brands Corp.", "FBHS"
"Fortune Brands Inc.", "FBHS"
"Foster Poultry Farms", "None"
"Foster Wheeler Power Systems", "FWLT"
"Four-S Oil Company", "None"
"FPLE Forney LLC", "NEE"
"FPLE Lamar Power (Paris)", "NEE"
"FPL Energy Lamar Power", "NEE"
"FPL Energy Operation Services, Inc", "NEE"
"Franklin County", "None"
"Franklin County Solid Waste Department", "None"
"Frederick County Board Of County Commissioners", "None"
"Frederick County Department of Public Works", "None"
"Fred Weber", "None"
"Freeport Electric", "None"
"Freeport-McMoRan Copper and Gold", "FCX"
"Freeport-McMoran Copper and Gold Energy Services, LLC", "FCX"
"Freeport McMoRan Copper and Gold, Inc.", "FCX"
"Fresenius Medical Care North America", "FME"
"Frontier Ethanol dba POET Biorefining- Gowrie", "None"
"Frontier Refining and Marketing", "None"
"Front Range Energy", "None"
"FUEL", "None"
"FUJIFILM Holdings America Corporation", "FUJIY"
"Fulton County Department of Solid Waste", "None"
"Fulton County Georgia", "None"
"Fusion Paperboard - Connecticut, LLC", "None"
"FutureFuel Corporation", "FF"
"Gallatin County, Montana", "None"
"Gallia County Commissioners", "None"
"Garco Energy LLC", "None"
"Garland Power and Light, City of Garland", "None"
"Garrett County General Services Department", "None"
"Gary-Williams Energy Corporation", "None"
"Gaston County Government", "None"
"GBC Metals, LLC", "None"
"GCC A", "None"
"GCC America", "None"
"GCC Rio Grande, Inc.", "None"
"GDF Suez Energy NA", "None"
"GDF SUEZ Energy North Amarica, Inc", "GDFZY"
"GDF SUEZ Energy North America", "GDFZY"
"GDF SUEZ Energy North America, Inc.", "GDFZY"
"GDF Suez North America", "GDFZY"
"GE Commercial Finance - Energy Financial Services", "GE"
"GE Energy Financial Services", "GE"
"GELITA North America Inc.", "None"
"Genentech Incorporated", "DNA"
"General Chemical (Soda Ash) Partners", "None"
"General Electric Aviation", "GE"
"General Electric Company", "GE"
"General Electric Corporation", "GE"
"General Mills", "GIS"
"General Motors LLC", "GM"
"Geneva Energy LLC", "None"
"Geneva Nitrogen LLC", "None"
"GenOn Energy, Inc", "GEN"
"GenOn Power Generation, Inc", "GEN"
"GenTex Power Corporation", "None"
"George R Brown Partnership LP", "None"
"Georgetown County, South Carolina", "None"
"Georgia Energy Cooperative", "None"
"Georgia Gulf Corporation", "None"
"Georgia Pacific LLC", "GPK"
"Gerdau", "GGB"
"Gerdau Ameristeel", "GGB"
"Gerdau Ameristeel US Inc", "GGB"
"Gerdau Macsteel Inc.", "GGB"
"Gerdau Special Steel North America", "GGB"
"Gerresheimer Glass Inc", "None"
"Gevo", "GEVO"
"Giant Cement Holding, Inc.", "None"
"Giles Holdings, L.P.", "None"
"GIP Channelview Acquisition Partners,L.P.", "None"
"Glacial Lakes Corn Processors", "None"
"Glanbia Foods, Inc.", "None"
"GlaxoSmithKline", "GSK"
"GlaxoSmithKline LLC", "GSK"
"Glencore", "GLNCY"
"Global Tungsten and Powders Corp.", "None"
"Globe Specialty Metals, Inc.", "GSM"
"Gloucester County", "None"
"Gloucester County Improvement Authority", "None"
"GM Cereals Properties, LLC", "None"
"GNA Financing, INC", "None"
"Golden Grain Energy, LLC", "None"
"Golden Triangle Energy", "None"
"Golden Triangle Regional Solid Waste Management Authority", "None"
"Golden Valley Electric Association", "None"
"Goodrich Corporation", "GR"
"Goodway Refining, LLC", "None"
"Goodyear Tire and Rubber Co.", "GT"
"Gopher Resource, LLC", "None"
"Gordon County, GA", "None"
"Grace Pacific Corporation", "None"
"GrafTech International LTD", "GTI"
"Grand Haven Board of Light and Power", "None"
"Grand Island Area Solid Waste Agency", "None"
"Grand Island Utilities Department", "None"
"Grand River Asphalt", "None"
"Grand River Dam Authority", "None"
"Granger Associates, LLC", "None"
"Granite Falls Energy, LLC", "None"
"Granite Ridge Energy, LLC", "None"
"Grant County, Washington", "None"
"Graphic Packagine International, Inc.", "GPK"
"Graphic Packaging Holding Company", "GPK"
"Graphic Packaging International, Inc.", "GPK"
"Graymont, Inc.", "None"
"Greater Lebanon Refuse Authority", "None"
"Greater New Bedford Regional Refuse Management District", "None"
"Great Lakes Gas Transmission Limited Partnership", "None"
"Great Plains Energy, Inc.", "GXP"
"Great Plains Energy Incorporated", "GXP"
"Great Point Power Hamakua Holdings, LLC", "None"
"Great Point Power, LLC", "None"
"Great River Energy", "None"
"Great River Regional Waste Authority", "None"
"Grede Holdings LLC", "None"
"Grede LLC", "None"
"Green Bay Packaging Inc.", "None"
"Green Mountain Power", "GMP"
"Green Plains", "GPRE"
"Green Plains Renewable Energy", "GPRE"
"Green Plains Renewable Energy Inc", "GPRE"
"Green Valley Chemical Co.", "None"
"Greenville Electric Utility System", "None"
"Greenwood County", "None"
"Greer Industries", "None"
"Gregory Power Partners, LP", "None"
"Greif Inc.", "GEF"
"Griffin Pipe Products", "None"
"Griffin Pipe Products Co., Inc.", "None"
"GS Electric Generating Cooperative", "None"
"GTL Resources USA Inc", "None"
"Guam Power Authority", "None"
"Guardian Energy, LLC", "None"
"Guardian Industries, Corp", "GDI"
"GULFPORT ENERGY CORP", "GPOR"
"GWF Energy, LLC", "None"
"GWF Power Systems, L.P.", "None"
"Hall County, Georgia", "None"
"Halliburton", "HAL"
"Hamblen County Solid Waste System", "None"
"Hancock County Landfill", "None"
"Hanford L.P.", "None"
"Hardin County Fiscal Court", "None"
"Harford County Government", "None"
"Harsco", "HSC"
"Hastings Utilities (HU) / City of Hastings Nebraska", "None"
"Hastings Utilities (HU-WEC1) / City of Hastings Nebraska", "None"
"Hat Creek Energy LLC", "None"
"Hawaiian Electric Company, Inc.", "HE"
"Hawaii Electric Light Company, Inc.", "HE"
"Hawker Beechcraft Corporation", "None"
"Hawkeye Energy Greenport", "None"
"Hayes Landfill, Inc", "None"
"Haynes International, Inc.", "HAYN"
"Heartland Consumers Power District", "None"
"Heartland Corn Products", "None"
"Henderson County", "None"
"Henderson Municipal Power and Light", "None"
"Henrico County Department of Public Works", "None"
"Henry County, Board of Commissioners", "None"
"Hercules Cement Holding Company", "None"
"Heritage Environmental Services, LLC.", "None"
"Hermes Consolidated Inc.", "None"
"Hernando County, Fl", "None"
"Heron Lake BioEnergy, LLC", "None"
"Hess Corporation", "HES"
"Hess Corproation", "HES"
"Hexcel Corporation", "HXL"
"High Sierra Limited", "None"
"Highwater Ethanol, LLC", "None"
"Hill-Lake Gas Storage, LLC", "None"
"Hillsborough County", "None"
"Hillsborough County Board of County Commissioners", "None"
"Hilmar Cheese Company", "None"
"Hitachi Metals America", "HMTAY"
"HJ Heinz Co, LP", "KHC"
"Hoeganaes Corporation", "None"
"Holcim (US)", "HCMLY"
"Holcim (US) Inc.", "HCMLY"
"Holcim (US) Inc. - Corporate Office", "HCMLY"
"Holland Board of Public Works", "None"
"Hollingsworth and Vose", "None"
"HollyFrontier Corporation", "HFC"
"Holy Cross Electric Association, Inc.", "None"
"Homeland Energy Solutions, LLC", "None"
"Honeywell International", "HON"
"Honeywell International, Inc.", "HON"
"Honeywell International Incorporated", "HON"
"Hoosier Energy", "None"
"Hoosier Energy REC, Inc.", "None"
"Hoover Energy Partners LP", "None"
"Hopkinsville Elevator Company", "None"
"Horizon Ethanol dba Poet Biorefining-Jewell", "None"
"Hormel Foods Corporation", "HRL"
"Horry County Solid Waste Authority", "None"
"Horsehead corporation", "ZINCQ"
"Horsehead Holding Corp.", "ZINCQ"
"Houston County Board of Commissioners", "None"
"HOVENSA LLC", "HES"
"Howard County", "None"
"Howard County, Maryland", "None"
"HP Hood LLC", "None"
"Hunt Consolidated Inc.", "None"
"HUNTINGTON INGALLS INDUSTRIES, INC.", "HII"
"Huntsman International LLC", "HUN"
"Huntsman Petrochemical LLC", "HUN"
"Huron Real Estate Associates, LLC.", "None"
"Husker Ag, LLC", "None"
"Husky Energy Inc.", "HSE"
"Hutchinson Utilities Commission", "None"
"HYUNDAI MOTOR MANUFACTURING ALABAMA, LLC", "HYMTF"
"Iberdrola Renewables", "IBE"
"Iberdrola Renewables LLC", "IBE"
"Iberdrola USA, Inc.", "IBE"
"IBM Corporation", "IBM"
"ICL Performance Products LP", "ICL"
"IDACORP", "IDA"
"IDACORP, Inc", "IDA"
"Idaho Power", "IDA"
"IESI", "None"
"IESI Corporation", "None"
"Illinois Tool Works", "ITW"
"Imerys Carbonates LLC", "None"
"Imerys Clays Inc.", "None"
"IMERYS USA Inc.", "IMYSF"
"IMPERIAL IRRIGATION DISTRICT", "None"
"Imperial Sugar Co.", "IPSU"
"Imperial Sugar Company", "IPSU"
"Indeck-Corinth Limited Partnership", "None"
"Indeck Energy Services, Inc.", "None"
"Indeck Energy Services of Silver Springs, Inc.", "None"
"Indeck-Oswego Limited Partnership", "None"
"Indeck-Yerkes Limited Partnership", "None"
"Indiana Municipal Power Agency", "None"
"Indiana Municipal Power Agency (IMPA 100% owns GT2 and GT3)", "None"
"Indiana University", "None"
"Indian River County", "None"
"INEOS ABS (USA) Corporation", "None"
"INEOS NOVA, LLC", "None"
"INEOS USA LLC", "None"
"Inergy Midstream, LLC", "NRGYQ"
"Inergy Propane LP", "NRGYQ"
"Ingomar Packing Company, LLC", "None"
"Inland Empire Energy Center, LLC", "None"
"INNOVIA FILMS INC", "None"
"Integrys Energy Group Inc.", "TEG"
"Intel Copororation", "INTC"
"Intel Corporation", "INTC"
"Intermountain Power Agency", "None"
"Intermountain Rural Elec Assn", "None"
"International Automotive Components", "None"
"International Flavors and Fragrances Inc.", "IFF"
"International Grand Investment Corporation", "None"
"International Matex Tank Terminals", "None"
"International Paper", "IP"
"International Paper Company", "IP"
"International Specialty Products, Inc.", "IOSP"
"International Textile Group", "None"
"Inter-Power/AhlCon Partners, L.P.", "None"
"Interstate Resources, Inc.", "None"
"Interstate Waste Services", "None"
"Intrepid Potash, Inc.", "IPI"
"Invenergy Investment Company LLC", "None"
"Invenergy LLC", "None"
"IOTC", "None"
"Iowa Ethanol LLC D.B.A. POET Biorefining - Hanlontown", "None"
"Iowa State University", "None"
"Iowa Waste Systems, Inc.", "None"
"IPR-GDF SUEZ Energy North America", "GDFZY"
"IPR-GDF SUEZ Energy North America, Inc.", "GDFZY"
"IPR-GDF SUEZ North America, Inc.", "GDFZY"
"IPSCO Tubulars Inc.", "None"
"Iredell County", "None"
"Iroquois Gas Transmission System, LP", "None"
"Islip Resource Recovery Agency", "None"
"Isolatek International", "None"
"ISP CHEMCO LLC", "None"
"ISP Chemicals LLC", "ASH"
"Jackson County, Michigan", "None"
"James River Cogeneration Company", "None"
"James Valley Ethanol", "None"
"Jasa Hill Holding Company", "None"
"Jas W Glover Ltd", "None"
"JBS USA", "JBSAY"
"JBS USA LLC", "JBSAY"
"JEA", "None"
"JEFFERSON COUNTY", "None"
"Jefferson County, AL", "None"
"Jefferson Davis Landfill Commission", "None"
"Jefferson Parish Government", "None"
"JFE Holdings", "JFEEF"
"J.G. Boswell Company", "None"
"J.L. French Corporation Gateway", "None"
"JMC Steel Group", "None"
"J.M. Huber", "None"
"J. M. Huber Corporation", "None"
"J.M. Smucker Company", "SJM"
"John Sexton Contractors", "None"
"John Sexton Sand and Gravel", "None"
"JOHNSON AND LINDLEY, INC", "None"
"Johnston County Department of Public Utilities", "None"
"Joint Solid Waste Disposal Board, City and County of Peoria", "None"
"Jonah Gas Gathering Company", "None"
"Jones Sanitation", "None"
"Joy Global", "JOY"
"Joy Global Inc.", "JOY"
"J-Power Development Co, LTD.", "None"
"J-Power USA", "None"
"J Power USA Development Co Ltd", "None"
"J-POWER USA Generation, L.P.", "None"
"J.R. Simplo Company", "SIM"
"J. R. Simplot Company", "SIM"
"JW Childs", "None"
"JX Nippon Oil and Energy", "None"
"KAAPA Ethanol, LLC", "None"
"Kaiser Aluminum Fabricated Products, LLC.", "KALU"
"Kalaeloa Partners L.P.", "None"
"KaMin Holdco LLC", "None"
"KaMin Holdo LLC", "None"
"Kane County", "None"
"Kansas City Power and Light Company - Greater Missouri Operations Company", "None"
"Kansas Ethanol, L.L.C.", "None"
"Kansas State University", "None"
"KapStone Paper", "KS"
"KapStone Paper and Packaging Corporation", "KS"
"Kauai Island Utility Cooperative", "None"
"Kellogg Company", "K"
"Kent County Department of Public Works", "None"
"Kern Front Ltd.", "None"
"Kern Oil and Refining Company", "None"
"Kerr-McGee Oil and Gas Corporation", "None"
"Keymark Corporation", "None"
"KeySpan Gas East Corporation", "None"
"KEYSTONE CONSOLIDATED INDUSTRIES INC", "None"
"Keystone Sanitary Landfill, Inc.", "None"
"KGen Power Corporation", "None"
"Kimberly-Clark Corporation", "KMB"
"Kimberly-Clark Corporation, Owensboro Operations", "KMB"
"Kimberly-Clark Corporation - World Headquarters", "KMB"
"Kimble Sanitayr Landfill", "None"
"Kinder Morgan", "KMI"
"Kinder Morgan Energy Partners, L.P.", "KMP"
"Kinder Morgan Operating Limited Partnership "A"", "KMI"
"Kinder Morgan Operating Partnership "A"", "KMI"
"Kinder Morgan Production Company LP.", "KMI"
"Kinder Morgan W2E Pipeline LLC", "KMI"
"King County", "None"
"King George County, Virginia", "None"
"Kingsburg Energy, LLC", "None"
"Kings River Conservation District", "None"
"KMG Chemicals, Inc.", "KMGB"
"Knauf Insulation GmbH", "None"
"Knox County Landfill", "None"
"KOBE Steel USA Inc.", "KBSTY"
"Koch Enterprises, Inc.", "None"
"Koch Industries, Inc.", "None"
"Kohler Co.", "None"
"Kootenai County", "None"
"Koppers Inc.", "KOP"
"KPAQ Industries, LLC", "None"
"Kraft Foods Global Inc.", "KRFT"
"KRATON POLYMERS U.S. LLC", "KRA"
"KRONOS Louisiana, Inc.", "KRO"
"Kyowa Hakko Bio", "None"
"La Crosse County, Wisconsin", "None"
"Lafarge NA Inc.", "None"
"Lafarge North America, Inc.", "LAFGY"
"Lafayette Public Power Authority", "None"
"Lafayette Utilities System", "None"
"Lake Area Corn Processors, LLC", "None"
"Lake County Board of County Commissioners (A Political Subdivision of the State of Florida)", "None"
"Lake County Dept of Utilityes", "None"
"Lake County, Montana", "None"
"Lakeside Energy, LLC", "None"
"Lamar County Regional Solid Waste Authority", "None"
"Lamar Light and Power", "None"
"Lamb-Weston/Midwest, Inc", "None"
"Lancaster County Solid Waste Management Authority", "None"
"Land and Lakes Company", "None"
"Landfill 33, LTD", "None"
"Landfill LLC", "None"
"Landfill Management Co.", "None"
"Landfill of North Iowa", "None"
"Land O'Lakes, Inc.", "None"
"Lane County", "None"
"Lansing Board of Water and Light", "None"
"Lanxess Corporation", "LNXSF"
"La Paloma Generating Company LLC", "None"
"La Paz County", "None"
"Larimer County, a political subdivision of the State of Colorado", "None"
"LaSalle Parish Police Jury", "None"
"Lawrence County Solid Waste", "None"
"LCY Elastomers LP", "None"
"Lea Power Partners, LLC", "None"
"Lee County Board of County Commissioners", "None"
"Leflore County Municipal Solid Waste Landfill", "None"
"Leggett and Platt, Inc.", "LEG"
"Lehigh Cement Company LLC", "None"
"Lehigh Cement LLC New York and Delaware", "None"
"Lehigh Hanson", "None"
"Lehigh Hanson Inc.", "None"
"Lehigh White Cement Company", "None"
"Lehigh White Cement Company LLC", "None"
"Lenoir County Landfill", "None"
"Lenzing Fibers Inc", "None"
"Leon County, FL", "None"
"Leone Industries, Inc.", "None"
"Leprino Foods", "None"
"Leprino Foods Inc", "None"
"LES", "None"
"Lewis and Clark County, Montana", "None"
"Lexington County Public Works Department", "None"
"Lexington Fayette Urban County Government", "None"
"LGandE and KU Energy", "PPL"
"LGandE and KU Energy LLC", "PPL"
"Libbey Inc", "LBY"
"Liberty Electric Power", "None"
"Lifespan", "None"
"Lima Refining Company", "HFC"
"Lincoln County", "None"
"Lincoln Electric Holdings, Inc.", "LECO"
"Lincoln Electric System", "None"
"Lincolnland Agri-Energy, LLC", "None"
"Lincoln Paper and Tissue, LLC", "None"
"Lincolnway Energy, LLC", "None"
"Linde Gas North America, LLC", "LIN"
"Linde North America, Inc", "LIN"
"Lion Copolymer, LLC", "None"
"Lion Oil Company", "None"
"Little Rapids Corporation", "None"
"LITTLE SIOUX CORN PROCESSORS, LLLP", "None"
"Live Oak Ltd.", "None"
"LIVINGSTON COUNTY MICHIGAN", "None"
"Local County Government", "None"
"Local Government", "None"
"Lockheed Martin Corporation", "LMT"
"Lockport Energy Associates, LP.", "None"
"Loders Croklaan USA LLC", "None"
"Loews Corporation", "L"
"Logansport Municipal Utilities", "None"
"Loma Linda University", "None"
"Longview Fibre Paper and Packaging, Inc.", "None"
"Lopez Foods, Inc.", "None"
"Los Angeles County", "None"
"Los Angeles County Sanitation District", "None"
"Los Angeles County Sanitation Districts", "None"
"Los Gatos Tomato Products", "None"
"LOUDON COUNTY SOLID WASTE DISPOSAL COMMISSION", "None"
"Loudoun County Department of General Services, Division of Waste Management", "None"
"Louis Dreyfus Agricultural Industries LLC", "None"
"Louis Dreyfus Commodities", "None"
"Louis Dreyfus Commodities, LLC.", "None"
"Louisiana Energy and Power Authority", "None"
"Louisiana Generating, LLC", "None"
"Lowell Cogeneration Company, L.P.", "None"
"Lower Colorado River Authority", "None"
"Loyola University Health System", "None"
"L.P. Gill Incorporated", "None"
"LSB Chemical Corporation", "LXU"
"LSB Industries", "LXU"
"LSB Industries, Inc.", "LXU"
"LS Power Developement, LLC", "None"
"LS Power Development, LLC", "None"
"LS Power, LLC", "None"
"LSP-Whitewater, Limited Partnership", "None"
"Lucite International", "LYB"
"Lucite International, Inc.", "LYB"
"Lufkin Industries, Inc.", "None"
"Luminant Generation Company", "None"
"Luminant Generation Company LLC", "None"
"LWB Holding Company", "None"
"Lyon County", "None"
"LyondellBasell", "LYB"
"LyondellBasell Industries", "LYB"
"Lyondell Chemical Company", "LYB"
"MACH Gen", "None"
"MACHGen LLC", "None"
"Macpherson Oil Company", "None"
"Macquarie Infrastructure Company, LLC", "MIC"
"Madera Disposal Systems", "None"
"Madill Gas Processing Company, L.L.C.", "None"
"Madison Gas and Electric", "MGEE"
"Madison Gas and Electric Co.", "MGEE"
"MAGTFTC MCAGCC Twentynine Palms", "None"
"Mallinckrodt Inc", "MNK"
"Malt-O-Meal Company", "None"
"Manatee County Government", "None"
"MandG Finanziaria Industriale SPA", "None"
"Manitowoc Public Utilities", "None"
"Marathon", "MRO"
"Marathon County", "None"
"Marathon Oil", "MRO"
"Marathon Oil Company", "MRO"
"Marathon Oil Corporation", "MRO"
"Marathon Petroleum Company LP", "MPC"
"Marcal Paper Mills Holding Company, LLC", "None"
"Maricopa County solid Waste Managment", "None"
"Marion County Board of County Commissioners", "None"
"MarkWest Energy Partners, L.P.", "MWE"
"Marquette Board of Light and Power", "None"
"Marquette County Solid Waste Management Authority", "None"
"Marquis Energy, LLC", "None"
"Marquis Energy - Wisconsin, LLC", "None"
"Marshall Municipal Utilities", "None"
"Mars Inc.", "None"
"Martin County Board of County Commissioners", "None"
"Martin Marietta Materials", "MLM"
"Martin Marietta Materials, Inc.", "MLM"
"Martin Midstream Partners L.P.", "MMLP"
"Marubeni Power America, Inc. (c/o Corporation Trust Center)", "MARUY"
"Maryland Environmental Service (Independent State Agency)", "None"
"Marysville Ethanol, LLC", "None"
"Mason County Fiscal Court", "None"
"Massachusettes Institute of Technology", "None"
"Massachusetts Municipal Wholesale Electric Co.", "None"
"Massachusetts Municipal Wholesale Electric Company", "None"
"Massachusetts Port Authority", "None"
