Unnamed: 0,Company,Total GHG
790,"Gip channelview acquisition partners,l.p.",2760386.4
791,Fortistar channelview llc,306709.60000000003
792,City of chanute,11703.0
793,"Powersouth energy cooperative, inc.",4727517.0
794,"Charleston clean energy, llc",125828.0
795,City of charleston,125828.0
796,Oglethorpe power corporation,1077166.0
797,Chautauqua county,64765.0
798,E.i. dupont nemours and company,127939.0
799,Cheney lime and cement company,327727.0
800,"Chevron phillips chemical company, lp",822770.0
801,Dyno nobel inc.,1036215.0
802,"Associated electric cooperative, inc.",15899082.0
803,Nv energy,8013011.6
804,"Chula vista energy center, llc",1030.0
805,"Mid kansas electric company, llc",358699.0
806,City of fulton,100.0
807,City water and light plant of the city of jonesboro,53617.0
808,"Akron energy systems, llc",101261.0
809,City of chandler,1720.0
810,City of charlottesville,17778.0
811,City of coffeyville municipal light & power,1207.0
812,City of greenville,57050.0
813,"City of irving, texas",82183.0
814,City of laredo,144134.0
815,"City of midland, texas",65236.0
816,City of nacodoches,64877.0
817,Elliott construction company,30595.0
818,City of palo alto,12514.0
819,City of pampa,27937.0
820,City of port arthur,121872.0
821,City of sacramento,3688.0
822,City of sallisaw,111058.0
823,City of spokane,101894.0
824,"City of thomasville, georgia",106603.0
825,City of victoria,166545.0
826,City of waco,68994.0
827,City of wichita falls,119705.0
828,City of winfield,61034.0
829,Nv energy,361496.0
830,"Exterran holdings, inc.",62136.0
831,Clayton county transportation and development department,84461.0
832,Taunton municipal lighting plant,60044.0
833,Cleveland clinic,60123.0
834,Ohio valley electric corporation,13519750.0
835,City of gloversville,50017.0
836,Old dominion electric cooperative,3257174.0
837,Chevron global power company,1335408.5
838,Edison mission energy company,1335408.5
839,"Coastal carolina clean power, llc",7527.0
840,Coastal regional solid waste management authority,104019.0
841,Coffeyville resources refining & marketing,888108.0
842,James river cogeneration company,700687.0
843,Big rivers electric corporation,10438247.0
844,"Gdf suez energy north america, inc.",3522493.0
845,City of columbia missouri,93850.0
846,Ameren energy generating company,6566980.010000001
847,City of columbia missouri,1068.75
848,"Inter-power/ahlcon partners, l.p.",976733.0
849,"Tyr energy, inc.",40590.0
850,"Kinder morgan energy partners, l.p.",163136.0
851,"Conagra foods, inc.",93254.0
852,Wisconsin electric power company,17411693.0
853,Marathon,83991.3
854,City of conroe,6297.0
855,"Alcan rolled products - ravenswood, llc",96422.0
856,"Veyance technologies, inc.",22667.0
857,Lafarge north america inc.,529038.0
858,"Transcanada energy usa, inc.",3641.0
859,"Crosstex north texas pipeline, lp",26443.0
860,"Cooper river partners, llc",49478.0
861,"Copano energy, l.l.c.",192883.0
862,"Copano energy, llc",37341.0
863,El paso electric company,1711544.0
864,"Berkshire hathaway, inc.",542587.8
865,Cornell university,155773.0
866,Sabic innovative plastics holding us lp,620956.5
867,"Total holdings usa, inc.",193294.5
868,Sacramento municipal utility district financing authority,1404544.0
869,Calypso energy holdings llc,135527.44999999998
870,Nrg energy,1329983.0
871,Otter tail corporation,2248635.95
872,Northern municipal power agency,1051403.1
873,Northwestern corporation dba northwestern energy,876169.25
874,"Mdu resources group, inc.",350467.7
875,"Qep resources, inc.",203168.0
876,Crisp county board of commissioners,38825.0
877,"Millennium inorganic chemicals, inc.",460133.0
878,Exelon corporation,3902439.0
879,South carolina public service authority,23236610.0
880,Clarksdale public utilities,17864.0
881,Crow wing county,17239.0
882,Orlando utilities commission,5689054.0
883,City of alexandria,2954.0
884,Miami-dade county department of soild waste magement,263706.0
885,Daikin america inc.,50048.0
886,Dak americas llc,502885.0
887,"Lake area corn processors, llc",74117.0
888,Mohawk industries,93547.0
889,Neenah enterprises incorporated,34584.0
890,Dalton-whitfield regional solid waste management authority,142850.0
891,Development authority of the north country,53897.0
892,Dane county,58666.0
893,Dart capital dcc llc,35342.0
894,Dart container corporation,30529.92
895,Dart container of michigan llc,1272.08
896,Trustees of dartmough college,55062.0
897,Daviess county board of commissioners,25517.0
898,Day-glo color,2749.0
899,Delaware solid waste authority,82354.0
900,Augusta-richmond georgia,137943.0
901,District energy corporation,2058.0
902,"600 land, inc.",44395.0
903,American standard brands,118854.0
904,"Deffenbaugh industries, inc.",967990.0
905,"Defiance county, board of commissioners",62126.0
906,Del monte corporation,31307.0
907,Delaware county solid waste authority,119150.0
908,Delta solid waste management authority,37575.0
909,Deltech acquisition corporation,78277.0
910,World oil corp,67808.0
911,"Denco ii, llc",13051.0
912,City and county of denver,100553.0
913,Occidental petroleum company,63137.310000000005
914,Des moines county regional solid waste commission,60113.0
915,Daimler north america corporation,46151.0
916,City of detroit,67075.0
917,City of detroit - board of water commissioners,130491.0
918,Valero energy corporation,21367666.0
919,"Tin inc., dba temple-inland",91088.0
920,Dicalite minerals corp,33307.0
921,Didion milling inc.,75663.0
922,"Digeronimo aggregates, llc",20826.0
923,"Energytransfer partners, l.p.",27104.0
924,"Dcp midstream partners, lp",138761.6
925,District energy st. paul,53560.0
926,Gdf suez energy na,126466.0
927,State of utah division of wildlife resources,86500.0
928,"The renco group, inc",157026.0
929,Domtar corporation,1383648.0
930,"Domtar paper company, llc.",234176.0
931,/ city of hastings nebraska,620255.0
932,Double c limited,101377.0
933,"County of douglas, ne",6110.0
934,Mustang fuel corporation,59843.0
935,City of dover,134681.0
936,Dow chemical company,126968.5
937,Dow corning corporation,221085.98
938,"Giant cement holding, inc.",953804.0
939,Whiting petroleum corporation,45320.0
940,"Dsm chemicals holding company, inc.",471557.0
941,Dte energy services,1256533.5
942,Dte energy company,2280.0
943,Regency energy partners lp,265690.0
944,Dubuque metropolitan area solid waste agency,72174.0
945,Duke university,107043.0
946,Dunn paper inc,36613.0
947,E.i. dupont denemours and company,76849.0
948,E.i. dupont de nemours and company,2743968.0
949,Duquesne university,584.0
950,Nan,85114.0
951,Dutchess county resource recovery agency,44521.0
952,Dyno nobel inc,173694.0
953,City of springfield,3130726.0
954,Darling international inc.,91276.0
955,Northwestern energy corporation,26198.0
956,Davidson county integrated solid waste management dept.,44522.0
957,"City of ames, ia",1257.0
958,City of austin,1487169.0
959,Massachusetts water resources authority,16665.0
960,City of gainesville/gainesville regional utilities,1640233.0
961,General motors llc,878524.0
962,Delaware city refining company,130016.0
963,Delek us holdings,455729.0
964,"Centerpoint energy southeastern pipelines holding, llc",81263.5
965,"Spectra energy southeast supply header, llc",81263.5
966,"Enterprise hydrocarbons, lp",336788.0
967,"Delta air lines, inc.",52304.0
968,San diego gas and electric,1197061.0
969,Detroit renewable energy llc,162390.0
970,Hoover energy partners lp,114594.0
971,Equipower resources corp,1689360.0
972,Dixie chemical company,37740.0
973,Lafayette utilities system,398402.0
974,"Dogwood power management, llc",352480.0
975,"Domtar paper company, llc",190674.0
976,Domtar paper company llc,448526.0
977,Dougherty county board of commissioners,108490.0
978,Corning inc.,58545.5
979,Walton emc,27575.0
980,"Rogue valley properties, inc.",62108.0
981,"Wabash valley power association, inc.",2006362.74
982,City of duluth,69431.0
983,Performance fibers operations inc,30150.0
984,Solid waste authority of palm beach county,432928.0
985,E & j gallo winery,31207.0
986,"E energy adams, llc",82738.0
987,National grid generation llc,1583546.0
988,Eagle county solid waste and recycling,45817.0
989,Advanced disposal services,612797.0
990,Republic services inc,199772.0
991,East central solid waste commission,22247.0
992,Harsco,3910.0
993,"City of jacksonville, florida",88041.0
994,"East kansas agri-energy, llc",51747.0
995,"East penn manufacturing co., inc.",99765.0
996,Conocophillips company,9258356.68
997,"Wtg gas processing, l.p.",146194.0
998,"Lion copolymer, llc",61745.0
999,"City of birmingham, al",282640.0
1000,Eastman chemical company,84410.0
1001,Rhodia inc.,69446.0
1002,"Ecoelectrica, lp",1502064.0
1003,Edgecombe county solid waste department,22308.0
1004,Alon energy usa,207146.0
1005,General electric company,3397225.0
1006,"Egan hub storage, llc",47023.0
1007,"East jordan iron works, inc.",55170.0
1008,Eka chemicals inc,24888.0
1009,Lsb industries,627624.0
1010,"Lsb industries, inc.",582336.0
1011,"Mid-american engergy holdings, co.",47034.0
1012,Elementis plc,197300.0
1013,Eli lilly and company,132874.0
1014,Elkhart county landfill,6325.0
1015,"Louis dreyfus commodities, llc.",69069.0
1016,"Ellwood group, inc.",59195.0
1017,Ellwood group inc.,64875.0
1018,Ellwood group,29870.0
1019,Cimarex energy co.,29404.0
1020,Emory university,53280.0
1021,Cliffs natural resources,3186305.0700000003
1022,Arcelor mittal,157967.88
1023,North chicago energy trust,43075.0
1024,City of enid,67719.0
1025,"Enkei america, inc.",25969.0
1026,"Eog resources, inc.",271.0
1027,Ep management corporation,54793.0
1028,Ppl corporation,1059084.0
1029,Lyondellbasell,510094.0
1030,Lyondellbasell,285389.0
1031,"Erachem comilog, inc.",28709.0
1032,Eramet marietta inc.,140946.0
1033,"Ergon, inc.",203660.5
1034,Ergon inc.,206003.0
1035,Erie county board of commissioners,37154.0
1036,"Walter energy, inc.",172850.0
1037,Erving industries,29017.0
1038,City of escanaba,123842.0
1039,Essroc cement company,464001.0
1040,Essroc cement corporation,1289681.0
1041,Polk county board of commissioners,143645.0
1042,"Tristream energy, llc",90889.0
1043,"Evonik stockhausen, llc",26356.0
1044,Evonik degussa corporation,268317.0
1045,Evonik goldschmidt corporation,141948.0
1046,Strategic minerals corporation,10815.0
1047,Exide technologies,113336.0
1048,Excide technologies,26613.0
1049,Packaging dynamics,101181.0
1050,Exxon mobil oil corporation,10794723.0
1051,Exxon mobil corporation,7560353.0
1052,Exxonmobil corporation,2511106.0
1053,Sunoco inc,103964.0
1054,Phh,241847.44
1055,"Ppg industries, inc.",2267319.75
1056,Rs co gen,513925.81000000006
1057,"Energy partners of delaware, ltd.",33687.0
1058,The dayton power & light company,1286719.79
1059,"Rentech, inc.",849507.0
1060,"Enterprise south texas gathering, l.p.",25069.0
1061,Eastern michigan university,35257.0
1062,Baltimore county government,82981.0
1063,Eastman chemical company,6598827.0
1064,Eastman chemical co,59938.0
1065,Eastman kodak company,1072279.0
1066,Ebensburg power company,644242.0
1067,Lansing board of water & light,2963606.0
1068,"Rhodia, inc.",39488.0
1069,Edgewood energy llc,78258.0
1070,Effingham county power,838558.0
1071,"El cajon energy, lp",5143.0
1072,Imperial irrigation district,351418.0
1073,Dairland power cooperative,10310.0
1074,El paso corporation,47376.0
1075,"W.e. power, llc",3126460.4
1076,Madison gas and electric,192598.8
1077,Wisconsin public power inc.,192598.8
1078,Owensboro municipal utilities,2600288.0
1079,Elmwood park power llc,13831.0
1080,J power usa development co ltd,161457.5
1081,"Emerald performance materials, llc",46955.0
1082,Emery oleochemicals llc,279394.0
1083,"Aka energy group, llc",96227.0
1084,The empire district electric co.,507942.0
1085,Puget sound energy,1460706.0
1086,Michigan south central power agency,418741.0
1087,Bill barrett corporation,128821.0
1088,"Gdf suez energy north amarica, inc",580045.0
1089,Seattle steam company llc,82695.0
1090,Nustar energy lp,40852.0
1091,"Suez-degs of tuscola, llc",385028.0
1092,"Equus power 1, lp",38166.0
1093,Bunge north america,46193.5
1094,Ergon,46193.5
1095,"Tri-state generation and transmission association, inc.",2475767.0
1096,"Escondido energy center, llc",850.0
1097,"North american energy alliance, llc",765737.0
1098,Essroc cement co,243992.0
1099,Evraz inc. na,104141.0
1100,Marathon oil corporation,72300.0
1101,Reenergy holdings,234089.0
1102,Western minnesota municipal power agency-exira station,1995.0
1103,"Red shield acquisition, llc.",52591.0
1104,Wausau paper corp,384630.0
1105,Wausau paper corporation,233842.0
1106,Vectren corporation,2216460.0
1107,Fayette county transfer station,9982.0
1108,Chrysler group llc,462184.0
1109,Wake county government,130450.0
1110,Fibrek,37871.0
1111,Kootenai county,60.0
1112,Mid-american energy holdings co.,732855.0
1113,Atlas holdings llc,9235.0
1114,County of stanislaus,53393.0
1115,"Bridgestone procurement holdings usa, inc.",92436.0
1116,"Firestone polymers, llc",55829.0
1117,E.i. dupont de nemours company,290331.0
1118,"First quality tissue, llc",101371.0
1119,City of fitchburg,38522.0
1120,Fortistar methane group,38522.0
1121,Pinetree power fitchburg,38522.0
1122,Flakeboard america,47117.0
1123,Flakeboard  america limited,43746.0
1124,Flambeau river papers llc,53418.0
1125,"Piramal glass usa, inc",40363.0
1126,Flathead county solid waste,10070.0
1127,"Koch industries, inc",4893577.0
1128,"Project hawkeye, llc",179515.0
1129,Florida gas transmission company,79300.0
1130,Florida gas transmission company,687214.0
1131,Florim usa inc.,34834.0
1132,Fmc corporate,51200.0
1133,Fmc corporation,1648024.0
1134,J.m. smucker company,31310.0
1135,County of san joaquin,192183.0
1136,Ford county government,15950.0
1137,Ford motor company,735276.0
1138,"Deerfield production and refining, inc.",15984.0
1139,Formosa plastics corporation usa,28456.0
1140,"Formosa plastics corporation, usa",309404.0
1141,"Formosa plastics corp, usa",3967250.0
1142,Fpl energy lamar power,2703777.0
1143,Fple forney llc,2703777.0
1144,Wca waste corporation,181034.0
1145,"Bannock county, idaho",46735.0
1146,City of ft. smith,110699.0
1147,Foster poultry farms,37904.0
1148,"City of nashua, department of public works",24984.0
1149,Franklin county solid waste department,12218.0
1150,Franklin county,50830.0
1151,County of franklin solid waste management authority,5761.0
1152,Solid waste authority of central ohio,261319.0
1153,Fred weber,241990.0
1154,Frederick county department of public works,55963.0
1155,Freeport-mcmoran copper and gold,88581.0
1156,Fresenius medical care north america,48642.0
1157,"Pepsico, inc.",197184.0
1158,Pepsico inc.,148364.0
1159,Pepsico,49134.0
1160,Front range energy,41289.0
1161,"Union underwear company, inc dba fruit of the loom",38025.0
1162,Fulton county department of solid waste,34429.0
1163,"Fusion paperboard - connecticut, llc",91604.0
1164,Central iowa power cooperative,283878.0
1165,"Cemex construction materials atlantic, llc",375112.0
1166,Madera disposal systems,17973.0
1167,Municipality of fajardo,30584.0
1168,Avant energy,152506.0
1169,"Fauquier county, virginia",65323.0
1170,"Felman production, inc.",129292.0
1171,Fibrek u.s. inc.,54334.0
1172,Fuel,146180.0
1173,"Advanced bioenergy, llc",172664.0
1174,Petrologistics,198937.0
1175,"Cemex construction materials florida, llc - central power and lime, llc",731191.0
1176,Florida state university,29225.0
1177,"Buckeye technologies, inc.",198407.0
1178,Mazda motor corporation,23795.0
1179,"Constellation mystic power, llc",5335352.0
1180,Town of babylon,45366.0
1181,Millercoors llc,433347.0
1182,"Fortistar north tonawanda, inc.",20224.0
1183,The city of new york c/o dep bureau of wastewater treatment,16300.0
1184,"Hoosier energy rec, inc.",7807079.0
1185,Dayton power and light company,17401306.0
1186,County of orange,819179.0
1187,Atlantic power,324751.0
1188,"Southwestern electric cooperative, inc.",2795.0
1189,Freeport electric,31314.0
1190,Village of freeport,31314.0
1191,"Freeport mcmoran copper & gold, inc.",26083.0
1192,"Wellhead power gates, llc",9424.0
1193,Colorado springs utilities,4180077.0
1194,Fujifilm holdings america corporation,31823.0
1195,Fulton county georgia,26732.0
1196,Innovia films inc,42156.0
1197,Futurefuel corporation,149775.0
1198,Horsehead holding corp.,1356153.0
1199,"Gallatin county, montana",25268.0
1200,Gallia county commissioners,61546.0
1201,E&j gallo winery inc.,131170.0
1202,"Western refining, inc.",1294807.0
1203,City of boston,23295.0
1204,Garrett county general services department,42332.0
1205,Gaston county government,60592.0
1206,Suncoke energy,581093.0
1207,"Gbc metals, llc",46592.0
1208,"Dynamic offshore resources, llc",64880.0
1209,Gcc america,494530.0
1210,"Cemex,inc.",475500.0
1211,"Gcc rio grande, inc.",456288.0
1212,Gcc a,244863.0
1213,General electric corporation,25454.0
1214,City of modesto,21282.5
1215,"County of stanislaus, ca",21282.5
1216,Gelita north america inc.,25820.0
1217,Genentech incorporated,37691.0
1218,General electric aviation,64920.0
1219,General mills,55625.0
1220,Geneva nitrogen llc,76429.0
1221,Municipality of anchorage,633861.0
1222,Georgia pacific llc,520581.0
1223,Nestle usa,36606.0
1224,Gerdau ameristeel us inc,412187.0
1225,"Gna financing, inc",34477.0
1226,Gerdau ameristeel u.s. inc.,94591.0
1227,Gerdau ameristeel us inc.,25884.0
1228,Gerdau macsteel inc.,112636.0
1229,Gerresheimer glass inc,32261.0
1230,Apache corporation,21316.5
1231,Procter & gamble,88768.0
1232,City of glasgow,76450.0
1233,Glaxosmithkline llc,34928.0
1234,Global tungsten & powders corp.,50490.0
1235,Ibm corporation,102926.0
1236,"Globe specialty metals, inc.",667472.79
1237,Globe specialty metals inc,475148.0
1238,Gloucester county improvement authority,213999.0
1239,"Aes eastern energy,lp",269956.0
1240,"Gm cereals properties, llc",41654.0
1241,Crosstex ccng processing ltd.,40707.0
1242,"Golden grain energy, llc",168967.0
1243,Golden triangle energy,55151.0
1244,Golden triangle regional solid waste management authority,152750.0
1245,Golden valley electric association,608851.0
1246,"Besse forest products, inc.",540.0
1247,Goodrich corporation,25033.0
1248,"Goodway refining, llc",9554.0
1249,The goodyear tire & rubber company,534281.0
1250,"The goodyear tire & rubber company, inc.",47743.0
1251,The goodyear tire & rubber co.,56556.0
1252,"The goodyear tire & rubber company, inc",47267.0
1253,"Gopher resource, llc",60651.0
1254,W.r. grace& co.-conn.,100396.0
1255,W.r. grace & co.-conn.,141783.0
1256,Graftech international ltd,25689.0
1257,Muscatine foods corporation,849253.0
1258,"Granger associates, llc",95508.3
1259,"Granite falls energy, llc",71694.0
1260,"Grant county, washington",32601.0
1261,"National oilwell varco, lp",19683.0
1262,Graphic packaging holding company,564508.0
1263,"Graymont, inc.",3239089.0
1264,Chemtura corporation,44023.0
1265,Great river regional waste authority,44437.0
1266,Greater lebanon refuse authority,24471.0
1267,Grede holdings llc,28436.0
1268,Grede llc,65474.0
1269,"Dcp midstream partners, lp",40747.0
1270,Green bay packaging inc.,100795.0
1271,"Green bay packaging, inc.",61174.0
1272,Ineos usa llc,2718318.0
1273,Green plains,169683.0
1274,Green plains renewable energy inc,210385.0
1275,Green plains renewable energy inc.,166080.0
1276,Green plains renewable energy,77.0
1277,"Green plains renewable energy, inc.",431191.0
1278,Green valley chemical co.,58889.0
1279,City of tyler,57738.0
1280,Greif inc.,111788.0
1281,"Sandridge energy, inc.",868477.0
1282,"Griffin pipe products co., inc.",67968.0
1283,Griffin pipe products,55449.0
1284,"Glaxosmithkline, llc",6729.0
1285,Guam power authority,692158.0
1286,"Guardian energy, llc",157816.0
1287,"Guardian industries, corp",102397.0
1288,Guardian industries corp,365479.0
1289,Guardian industries corp,58830.0
1290,Guardian industries corp.,280335.0
1291,Gulfport energy corp,35254.0
1292,"Gwf power systems, l.p.",758566.0
1293,Gwf power systems l.p.,190716.0
1294,Sunflower electric power corporation,2701637.0
1295,Northern star generation services,172971.0
1296,City of gary,50422.0
1297,Plains all american gp llc,80773.0
1298,Geneva energy llc,39421.0
1299,"Georgetown county, south carolina",26740.0
1300,Tin inc. dba temple-inland,72901.0
1301,"Gerdau ameristeel us, inc",45846.0
1302,Gerdau special steel north america,53091.0
1303,Texas municipal power agency,6767581.0
1304,"Glanbia foods, inc.",35910.0
1305,Glaxosmithkline,29563.0
1306,"Montana-dakota utilities, co.",6150.0
1307,National grid glenwood energy center,55976.0
1308,"Db goal line, llc",91173.06
1309,"Arroyo energy, lp",920.94
1310,South beaumont farms,101503.0
1311,"Gordon county, ga",86989.0
1312,"Patriarch partners, llc",59598.0
1313,Luminant generation company llc,305319.0
1314,Grand island area solid waste agency,71423.0
1315,Grand river dam authority,5756322.4
1316,"Granite ridge energy, llc",1312809.0
1317,American bituminous power partners,728492.0
1318,"Graphic packaging international, inc.",121340.0
1319,"Graphic packagine international, inc.",133324.0
1320,Pennsylvania state department of corrections,53723.0
1321,Iotc,19494.0
1322,Western lime corporation,864357.0
1323,"Veolia environnement north america operations, inc",825608.0
1324,Invenergy investment company llc,240645.5
1325,"Stark power generation i holdings, llc",240645.5
1326,City of glendale - water and power,71201.0
1327,Great lakes gas transmission limited partnership,719278.0
1328,Statoil gulf of mexico llc,16433.5
1329,"Total e and p usa, inc",11174.78
1330,J-power usa development co. ltd,980374.0
1331,"Nedak ethanol, llc",61559.0
1332,"Biofuel energy, llc",358431.0
1333,"Abengoa bioenergy us holding, inc",196493.0
1334,"Abengoa bioenergy maple, llc",159070.0
1335,Abengoa bioenergy corpopration,112700.0
1336,"Aes eastern energy, lp",588360.0
1337,Buckeye power company,32560.0
1338,Greenwood county,25487.0
1339,"Gregory power partners, lp",1629684.0
1340,"Greif, inc",63415.0
1341,Municipality of guaynabo,64133.0
1342,Montgomery county division of solid waste services,78917.0
1343,Loews corporation,1134121.0
1344,City of atlanta,79426.0
1345,Accuride corportion,55104.0
1346,East kentucky power cooperative,11924721.0
1347,University of texas at austin,223963.0
1348,"Great point power hamakua holdings, llc",165992.0
1349,City of hampton,129158.0
1350,Hancock county landfill,84658.0
1351,City of winston-salem,23999.0
1352,Lehigh hanson inc.,1254307.0
1353,"Casella waste systems, inc",2110.0
1354,Harford county government,71684.0
1355,St. mary parish government,92832.0
1356,City of hastings,35635.0
1357,"Sunoco, inc.",1689492.0
1358,"Hawaii electric light company, inc.",466167.0
1359,"Alexander & baldwin, inc.",144968.0
1360,"Hawaiian electric company, inc.",3614261.0
1361,"Hayes landfill, inc",64661.0
1362,"Haynes international, inc.",55875.0
1363,U. s. government,118406.0
1364,Heartland corn products,164171.0
1365,Henderson county,9034.0
1366,Henrico county department of public works,39113.0
1367,"Henry county, board of commissioners",30518.0
1368,Chevron u.s.a. inc.,37490.0
1369,Rc lonestar inc.,1423888.0699999998
1370,Hercules cement holding company,5903.93
1371,Ashland inc.,219844.0
1372,"Heritage environmental services, llc.",1801.0
1373,Sumitomo corporation of america,630506.5
1374,"Hernando county, fl",48119.0
1375,"Heron lake bioenergy, llc",160572.0
1376,Hexcel corporation,55876.0
1377,Momentive performance materials holdings llc,251497.0
1378,City of hibbing,225632.0
1379,High sierra limited,24385.0
1380,Riverside county,46392.0
1381,"Highwater ethanol, llc",76230.0
1382,"Hill-lake gas storage, llc",30642.0
1383,Fortistar,33496.0
1384,Hillsborough county board of county commissioners,7208.0
1385,Hilmar cheese company,68973.0
1386,Lexington county public works department,29491.0
1387,Henderson municipal power and light,2357185.0
1388,Hoeganaes corporation,58765.0
1389,City of toledo,63437.0
1390,"Roche holdings, inc.",58070.0
1391,", inc.",728309.0
1392,Inc,415264.0
1393,Inc,916794.0
1394,Enbridge us inc.,34554.0
1395,Southern minnesota beet sugar cooperative,469995.0
1396,Frontier refining & marketing,2082637.0
1397,Hollyfrontier corporation,2469943.0
1398,Bae systems holdings inc.,134847.0
1399,"Homeland energy solutions, llc",194927.0
1400,American honda motor co inc,48295.0
1401,Honeywell international incorporated,70797.0
1402,Hormel foods corporation,71153.0
1403,Horry county solid waste authority,78703.0
1404,Houston county board of commissioners,58103.0
1405,Hp hood llc,25366.0
1406,Hunt consolidated inc.,410940.0
1407,"Hunt consolidated, inc.",31531.0
1408,Noresco,25308.0
1409,Precision castparts corporation,87531.0
1410,"Huntington ingalls industries, inc.",78582.0
1411,Huntsman petrochemical llc,58337.0
1412,Huntsman international llc,1366425.0
1413,Cove landfill of bad axe inc,51286.0
1414,"Huron real estate associates, llc.",46235.0
1415,"Husker ag, llc",90267.0
1416,"Hyundai motor manufacturing alabama, llc",31519.0
1417,"Hall county, georgia",83049.0
1418,United technologies corporation,190112.0
1419,City of hamilton,216054.0
1420,"Gwf energy, llc",25459.0
1421,Hanford l.p.,222948.0
1422,"City of los angeles, department of water and power",2946516.0
1423,Hardin county fiscal court,110347.0
1424,"East texas electrical cooperative, inc.",37745.0
1425,Northeast maryland waste disposal authority,69341.0
1426,Chesapeake energy corporation,280560.0
1427,Northeast texas electric cooperative,245408.9
1428,"East texas electric cooperative, inc.",200789.1
1429,City of tucson,56353.0
1430,Dco energy,41668.0
1431,South jersey industries inc,41668.0
1432,Connecticut resources recovery authority,380307.0
1433,Hawkeye energy greenport,27731.0
1434,"Great plains energy, inc.",7720239.0
1435,"Lakeside energy, llc",5082.0
1436,"Aer ny-gen, llc",1521.0
1437,Kgen power corporation,799362.0
1438,"Enterprise products operating, llc",923803.0
1439,"Lea power partners, llc",1222977.0
1440,Inc. - corporate office,731697.0
1441,Hoosier energy,148641.0
1442,Wabash valley power,148641.0
1443,Hollingsworth & vose,38458.0
1444,Keyspan gas east corporation,2857480.0
1445,National grid generation llc,79764.0
1446,Edison international,10172492.0
1447,"Kpaq industries, llc",49115.0
1448,Ipr-gdf suez energy north america,629216.0
1449,City of richland,37990.0
1450,Oge energy corporation,19317614.21
1451,Terrebonne parish consolidated government,124248.0
1452,City of vineland,9955.0
1453,Public service enterprise group incorporated,2187452.0
1454,"Ugi energy services, inc.",176402.0
1455,Northwestern corporation,2085.0
1456,Hutchinson utilities commission,5132.0
1457,Fairfax county government,80917.0
1458,International automotive components,39766.0
1459,Icl performance products lp,44269.0
1460,Iesi corporation,660000.0
1461,Progressive waste solutions ltd,47300.0
1462,International flavors and fragrances inc.,29612.0
1463,"Mgp ingredients, inc.",71421.5
1464,"Seacor holdings, inc.",71421.5
1465,State of illinois,31440.0
1466,Imerys carbonates llc,32500.0
1467,Imerys clays inc.,38403.0
1468,Imerys clays inc,45861.0
1469,"Indeck energy services, inc.",6008.0
1470,"City of independence, missouri",62307.0
1471,Indian river county,21193.0
1472,Indiana university,184764.0
1473,Corporation,191568.04
1474,"Ineos nova, llc",322969.0
1475,Meadwestvaco corporation,2171592.0
1476,"Ingomar packing company, llc",67.0
1477,Penford corp,123991.0
1478,Cowles publishing company,11402.0
1479,Horsehead corporation,61292.0
1480,Intel copororation,36061.0
1481,Intel corporation,66500.0
1482,International matex tank terminals,38691.0
1483,Tube city ims,416.0
1484,Temple inland,162880.0
1485,International paper,4443472.0
1486,"The international group, inc.",159833.0
1487,"Interstate resources, inc.",40266.0
1488,"Intrepid potash, inc.",69925.0
1489,"Intrepid potash, inc",11082.0
1490,"Koch industries,inc.",123566.0
1491,"Koch industries, inc.",88772.0
1492,Loders croklaan usa llc,32871.0
1493,City of iowa city,38273.0
1494,Iowa ethanol llc d.b.a. poet biorefining - hanlontown,84347.0
1495,Iowa state university,331111.0
1496,Ipsco tubulars inc.,99398.0
1497,Iredell county,86828.0
1498,City of johnson city,67288.0
1499,Pinal county,34206.0
1500,Pinal county,34206.0
1501,"Iroquois gas transmission system, lp",61216.0
1502,Isolatek international,25901.0
1503,Isp chemco llc,100046.0
1504,Isp chemicals llc,107541.0
1505,"International specialty products, inc.",30953.0
1506,"The empire district electric, co",807918.84
1507,"World minerals, inc.",54939.0
1508,Indeck-corinth limited partnership,267106.0
1509,Indeck energy services inc.,128058.0
1510,Indeck-oswego limited partnership,4629.0
1511,"Indeck energy services of silver springs, inc.",6179.0
1512,Indeck-yerkes limited partnership,35093.0
1513,Dynegy inc.,1404566.0
1514,Suncoke energy,818994.0
1515,Calypso energy holding llc,1517864.0
1516,Diamond generating corporation,63808.0
1517,"Corn prodcuts international, inc.",34576.0
1518,Corn products international,1012486.0
1519,"Inland empire energy center, llc",1312275.0
1520,Intermountain power agency,12013257.0
1521,Weyerhaeuser nr company,243444.0
1522,Weyerhaeuser company,558064.0
1523,International paper company,1598552.0
1524,"Tin, inc., dba temple inland",227503.0
1525,Temple-inland,661469.0
1526,"Ppl ironwood holdings, llc",1501193.0
1527,Energetix llc,73060.0
1528,Wppi energy,13546.0
1529,Burlington electric department,5840.5
1530,Cps energy,14114189.0
1531,J. r. simplot company,37679.0
1532,J.r. simplot company,88642.0
1533,City of lubbock texas,136933.0
1534,Lincoln electric system,64886.0
1535,Grand haven board of light & power,604399.0
1536,"Omni waste of osceola county, llc",270614.0
1537,J.g. boswell company,42281.0
1538,J.m. huber corporation,41198.0
1539,"Thermo cogeneration partnership, l.p.",442811.0
1540,"Energy transfer partners, lp",35179.0
1541,"Jackson county, michigan",23328.0
1542,"Southern union gas services, ltd.",257998.0
1543,City of janesville,53776.0
1544,Jbs usa llc,166737.0
1545,Jbs usa,675912.02
