"Company","Total GHG"
GenOn Energy Inc.,7510032.0
"Associated Electric Cooperatie, Inc.",463280.0
CenterPoint Energy Resources Corp,507942.0
"GIP Channelview Acquisition Partners,L.P.",2760386.4
Fortistar Channelview LLC,306709.60000000003
City of Chanute,11703.0
"PowerSouth Energy Cooperative, Inc.",4727517.0
"Charleston Clean Energy, LLC",125828.0
City Of Charleston,125828.0
Oglethorpe Power Corporation,1077166.0
Chautauqua County,64765.0
E.I. duPont Nemours and Company,127939.0
Cheney Lime and Cement Company,327727.0
"Chevron Phillips Chemical Company, LP",822770.0
Dyno Nobel Inc.,1036215.0
"Associated Electric Cooperative, Inc.",15899082.0
NV Energy,8013011.6
"Chula Vista Energy Center, LLC",1030.0
"Mid Kansas Electric Company, LLC",358699.0
City of Fulton,100.0
City Water and Light Plant of the City of Jonesboro,53617.0
"Akron Energy Systems, LLC",101261.0
City of Chandler,1720.0
City of Charlottesville,17778.0
City of Coffeyville Municipal Light & Power,1207.0
City of Greenville,57050.0
"City of Irving, Texas",82183.0
City of Laredo,144134.0
"City of Midland, Texas",65236.0
City of Nacodoches,64877.0
Elliott Construction Company,30595.0
City of Palo Alto,12514.0
City of Pampa,27937.0
City of Port Arthur,121872.0
City of Sacramento,3688.0
City of Sallisaw,111058.0
City of Spokane,101894.0
"City of Thomasville, Georgia",106603.0
City of Victoria,166545.0
City of Waco,68994.0
City of Wichita Falls,119705.0
City of Winfield,61034.0
NV ENERGY,361496.0
"Exterran Holdings, Inc.",62136.0
Clayton County Transportation and Development Department,84461.0
Taunton Municipal Lighting Plant,60044.0
Cleveland Clinic,60123.0
Ohio Valley Electric Corporation,13519750.0
City of Gloversville,50017.0
Old Dominion Electric Cooperative,3257174.0
Chevron Global Power Company,1335408.5
Edison Mission Energy Company,1335408.5
"Coastal Carolina Clean Power, LLC",7527.0
Coastal Regional Solid Waste Management Authority,104019.0
Coffeyville Resources Refining & Marketing,888108.0
James River Cogeneration Company,700687.0
Big Rivers Electric Corporation,10438247.0
"GDF SUEZ Energy North America, Inc.",3522493.0
City of Columbia Missouri,93850.0
Ameren Energy Generating Company,6566980.010000001
City of Columbia Missouri,1068.75
"Inter-Power/AhlCon Partners, L.P.",976733.0
"Tyr Energy, Inc.",40590.0
"Kinder Morgan Energy Partners, L.P.",163136.0
"ConAgra Foods, Inc.",93254.0
Wisconsin Electric Power Company,17411693.0
Marathon,83991.3
City of Conroe,6297.0
"Alcan Rolled Products - Ravenswood, LLC",96422.0
"Veyance Technologies, Inc.",22667.0
Lafarge North America Inc.,529038.0
"TransCanada Energy USA, Inc.",3641.0
"Crosstex North Texas Pipeline, LP",26443.0
"Cooper River Partners, LLC",49478.0
"Copano Energy, L.L.C.",192883.0
"COPANO ENERGY, LLC",37341.0
El Paso Electric Company,1711544.0
"Berkshire Hathaway, Inc.",542587.8
Cornell University,155773.0
SABIC Innovative Plastics Holding US LP,620956.5
"TOTAL Holdings USA, Inc.",193294.5
Sacramento Municipal Utility District Financing Authority,1404544.0
Calypso Energy Holdings LLC,135527.44999999998
NRG Energy,1329983.0
Otter Tail Corporation,2248635.95
Northern Municipal Power Agency,1051403.0999999999
NorthWestern Corporation DBA NorthWestern Energy,876169.25
"MDU Resources Group, Inc.",350467.7
"QEP Resources, Inc.",203168.0
Crisp County Board of Commissioners,38825.0
"Millennium Inorganic Chemicals, Inc.",460133.0
Exelon Corporation,3902439.0
South Carolina Public Service Authority,23236610.0
Clarksdale Public Utilities,17864.0
Crow Wing County,17239.0
Orlando Utilities Commission,5689054.0
City of Alexandria,2954.0
Miami-Dade County Department of Soild Waste Magement,263706.0
Daikin America Inc.,50048.0
DAK Americas LLC,502885.0
"Lake Area Corn Processors, LLC",74117.0
Mohawk Industries,93547.0
Neenah Enterprises Incorporated,34584.0
Dalton-Whitfield Regional Solid Waste Management Authority,142850.0
Development Authority of the North Country,53897.0
Dane County,58666.0
Dart Capital DCC LLC,35342.0
Dart Container Corporation,30529.92
Dart Container of Michigan LLC,1272.08
Trustees of Dartmough College,55062.0
Daviess County Board of Commissioners,25517.0
Day-Glo Color,2749.0
Delaware Solid Waste Authority,82354.0
Augusta-Richmond Georgia,137943.0
District Energy Corporation,2058.0
"600 Land, Inc.",44395.0
American Standard Brands,118854.0
"Deffenbaugh Industries, Inc.",967990.0
"Defiance County, Board of Commissioners",62126.0
Del Monte Corporation,31307.0
Delaware County Solid Waste Authority,119150.0
Delta Solid Waste Management Authority,37575.0
Deltech Acquisition Corporation,78277.0
World Oil Corp,67808.0
"DENCO II, LLC",13051.0
City and County of Denver,100553.0
Occidental Petroleum Company,63137.310000000005
Des Moines County Regional Solid Waste Commission,60113.0
Daimler North America Corporation,46151.0
City of Detroit,67075.0
City of Detroit - Board of Water Commissioners,130491.0
Valero Energy Corporation,21367666.0
"TIN Inc., dba Temple-Inland",91088.0
Dicalite Minerals Corp,33307.0
Didion Milling Inc.,75663.0
"DiGeronimo Aggregates, LLC",20826.0
"EnergyTransfer Partners, L.P.",27104.0
"DCP Midstream Partners, LP",138761.6
District Energy St. Paul,53560.0
GDF Suez Energy NA,126466.0
State of Utah Division of Wildlife Resources,86500.0
"The Renco Group, Inc",157026.0
Domtar Corporation,1383648.0
"Domtar Paper Company, LLC.",234176.0
/ City of Hastings Nebraska,620255.0
Double C Limited,101377.0
"County of Douglas, NE",6110.0
Mustang Fuel Corporation,59843.0
City of Dover,134681.0
Dow Chemical Company,126968.5
Dow Corning Corporation,221085.98
"Giant Cement Holding, Inc.",953804.0
Whiting Petroleum Corporation,45320.0
"DSM Chemicals Holding Company, Inc.",471557.0
DTE Energy Services,1256533.5
DTE Energy Company,2280.0
Regency Energy Partners LP,265690.0
Dubuque Metropolitan Area Solid Waste Agency,72174.0
Duke University,107043.0
Dunn Paper Inc,36613.0
E.I. DuPont DeNemours and Company,76849.0
E.I. DUPONT DE NEMOURS AND COMPANY,2743968.0
Duquesne University,584.0
NA,85114.0
Dutchess County Resource Recovery Agency,44521.0
Dyno Nobel Inc,173694.0
City of Springfield,3130726.0
Darling International Inc.,91276.0
NorthWestern Energy Corporation,26198.0
Davidson County Integrated Solid Waste Management Dept.,44522.0
"City of Ames, IA",1257.0
City of Austin,1487169.0
Massachusetts Water Resources Authority,16665.0
City of Gainesville/Gainesville Regional Utilities,1640233.0
General Motors LLC,878524.0
Delaware City Refining Company,130016.0
Delek US Holdings,455729.0
"CenterPoint Energy Southeastern Pipelines Holding, LLC",81263.5
"Spectra Energy Southeast Supply Header, LLC",81263.5
"Enterprise Hydrocarbons, LP",336788.0
"DELTA AIR LINES, INC.",52304.0
San Diego Gas and Electric,1197061.0
Detroit Renewable Energy LLC,162390.0
Hoover Energy Partners LP,114594.0
EquiPower Resources Corp,1689360.0
Dixie Chemical Company,37740.0
Lafayette Utilities System,398402.0
"Dogwood Power Management, LLC",352480.0
"Domtar Paper Company, LLC",190674.0
Domtar Paper Company LLC,448526.0
Dougherty County Board of Commissioners,108490.0
Corning Inc.,58545.5
Walton EMC,27575.0
"Rogue Valley Properties, Inc.",62108.0
"Wabash Valley Power Association, Inc.",2006362.7400000002
City of Duluth,69431.0
Performance Fibers Operations Inc,30150.0
Solid Waste Authority of Palm Beach County,432928.0
E & J Gallo Winery,31207.0
"E Energy Adams, LLC",82738.0
National Grid Generation LLC,1583546.0
Eagle County Solid Waste and Recycling,45817.0
Advanced Disposal Services,612797.0
REPUBLIC SERVICES INC,199772.0
East Central Solid Waste Commission,22247.0
Harsco,3910.0
"City of Jacksonville, Florida",88041.0
"East Kansas Agri-Energy, LLC",51747.0
"East Penn Manufacturing co., inc.",99765.0
ConocoPhillips Company,9258356.68
"WTG Gas Processing, L.P.",146194.0
"Lion Copolymer, LLC",61745.0
"City of Birmingham, AL",282640.0
EASTMAN CHEMICAL COMPANY,84410.0
Rhodia Inc.,69446.0
"EcoElectrica, LP",1502064.0
Edgecombe County Solid Waste Department,22308.0
Alon Energy USA,207146.0
General Electric Company,3397225.0
"Egan Hub Storage, LLC",47023.0
"East Jordan Iron Works, Inc.",55170.0
EKA CHEMICALS INC,24888.0
LSB Industries,627624.0
"LSB Industries, Inc.",582336.0
"Mid-American Engergy Holdings, Co.",47034.0
Elementis PLC,197300.0
Eli Lilly and Company,132874.0
Elkhart County Landfill,6325.0
"Louis Dreyfus Commodities, LLC.",69069.0
"Ellwood Group, Inc.",59195.0
Ellwood Group Inc.,64875.0
Ellwood Group,29870.0
Cimarex Energy Co.,29404.0
Emory University,53280.0
Cliffs Natural Resources,3186305.0700000003
Arcelor Mittal,157967.88
North Chicago Energy Trust,43075.0
City of Enid,67719.0
"Enkei America, Inc.",25969.0
"EOG Resources, Inc.",271.0
EP Management Corporation,54793.0
PPL Corporation,1059084.0
LyondellBasell,510094.0
Lyondellbasell,285389.0
"Erachem Comilog, Inc.",28709.0
Eramet Marietta Inc.,140946.0
"Ergon, Inc.",203660.5
Ergon Inc.,206003.0
Erie County Board of Commissioners,37154.0
"Walter Energy, Inc.",172850.0
Erving Industries,29017.0
City of Escanaba,123842.0
Essroc Cement Company,464001.0
Essroc Cement Corporation,1289681.0
Polk County Board of Commissioners,143645.0
"Tristream Energy, LLC",90889.0
"Evonik Stockhausen, LLC",26356.0
Evonik Degussa Corporation,268317.0
Evonik Goldschmidt Corporation,141948.0
Strategic Minerals Corporation,10815.0
Exide Technologies,113336.0
Excide Technologies,26613.0
Packaging Dynamics,101181.0
Exxon Mobil Oil Corporation,10794723.0
Exxon Mobil Corporation,7560353.0
ExxonMobil Corporation,2511106.0
SUNOCO INC,103964.0
PHH,241847.44
"PPG Industries, Inc.",2267319.75
RS Co Gen,513925.81000000006
"Energy Partners of Delaware, Ltd.",33687.0
The Dayton Power & Light Company,1286719.79
"Rentech, Inc.",849507.0
"Enterprise South Texas Gathering, L.P.",25069.0
Eastern Michigan University,35257.0
Baltimore County Government,82981.0
Eastman Chemical Company,6598827.0
EASTMAN CHEMICAL CO,59938.0
Eastman Kodak Company,1072279.0
Ebensburg Power Company,644242.0
Lansing Board of Water & Light,2963606.0
"Rhodia, Inc.",39488.0
Edgewood Energy LLC,78258.0
Effingham County Power,838558.0
"El Cajon Energy, LP",5143.0
IMPERIAL IRRIGATION DISTRICT,351418.0
Dairland Power Cooperative,10310.0
El Paso Corporation,47376.0
"W.E. Power, LLC",3126460.4
Madison Gas and Electric,192598.80000000002
Wisconsin Public Power Inc.,192598.80000000002
Owensboro Municipal Utilities,2600288.0
Elmwood Park Power LLC,13831.0
J Power USA Development Co Ltd,161457.5
"Emerald Performance Materials, LLC",46955.0
Emery Oleochemicals LLC,279394.0
"Aka Energy Group, LLC",96227.0
The Empire District Electric Co.,507942.0
Puget Sound Energy,1460706.0
Michigan South Central Power Agency,418741.0
Bill Barrett Corporation,128821.0
"GDF SUEZ Energy North Amarica, Inc",580045.0
Seattle Steam Company LLC,82695.0
NuStar Energy LP,40852.0
"SUEZ-DEGS of Tuscola, LLC",385028.0
"Equus Power 1, LP",38166.0
Bunge North America,46193.5
Ergon,46193.5
"Tri-State Generation and Transmission Association, Inc.",2475767.0
"Escondido Energy Center, LLC",850.0
"North American Energy Alliance, LLC",765737.0
ESSROC CEMENT CO,243992.0
Evraz Inc. NA,104141.0
Marathon Oil Corporation,72300.0
ReEnergy Holdings,234089.0
Western Minnesota Municipal Power Agency-Exira Station,1995.0
"Red Shield Acquisition, LLC.",52591.0
Wausau Paper Corp,384630.0
Wausau Paper Corporation,233842.0
Vectren Corporation,2216460.0
Fayette County Transfer Station,9982.0
Chrysler Group LLC,462184.0
Wake County Government,130450.0
Fibrek,37871.0
Kootenai County,60.0
Mid-American Energy Holdings Co.,732855.0
Atlas Holdings LLC,9235.0
County of Stanislaus,53393.0
"Bridgestone Procurement Holdings USA, Inc.",92436.0
"Firestone Polymers, LLC",55829.0
E.I. duPont de Nemours Company,290331.0
"First Quality Tissue, LLC",101371.0
City of Fitchburg,38522.0
Fortistar Methane Group,38522.0
Pinetree Power Fitchburg,38522.0
Flakeboard America,47117.0
Flakeboard  America Limited,43746.0
Flambeau River Papers LLC,53418.0
"Piramal Glass USA, INC",40363.0
Flathead County Solid Waste,10070.0
"Koch Industries, Inc",4893577.0
"Project Hawkeye, LLC",179515.0
Florida Gas Transmission Company,79300.0
FLORIDA GAS TRANSMISSION COMPANY,687214.0
Florim USA Inc.,34834.0
FMC Corporate,51200.0
FMC Corporation,1648024.0
J.M. Smucker Company,31310.0
County of San Joaquin,192183.0
Ford County Government,15950.0
Ford Motor Company,735276.0
"Deerfield Production and Refining, Inc.",15984.0
Formosa Plastics Corporation USA,28456.0
"Formosa Plastics Corporation, USA",309404.0
"Formosa Plastics Corp, USA",3967250.0
FPL Energy Lamar Power,2703777.0
FPLE Forney LLC,2703777.0
WCA Waste Corporation,181034.0
"Bannock County, Idaho",46735.0
City of Ft. Smith,110699.0
Foster Poultry Farms,37904.0
"City of Nashua, Department of Public Works",24984.0
Franklin County Solid Waste Department,12218.0
Franklin County,50830.0
County of Franklin Solid Waste Management Authority,5761.0
Solid Waste Authority of Central Ohio,261319.0
Fred Weber,241990.0
Frederick County Department of Public Works,55963.0
Freeport-McMoRan Copper and Gold,88581.0
Fresenius Medical Care North America,48642.0
"PepsiCo, Inc.",197184.0
PepsiCo Inc.,148364.0
Pepsico,49134.0
Front Range Energy,41289.0
"Union Underwear Company, Inc dba Fruit of the Loom",38025.0
Fulton County Department of Solid Waste,34429.0
"Fusion Paperboard - Connecticut, LLC",91604.0
Central Iowa Power Cooperative,283878.0
"CEMEX Construction Materials Atlantic, LLC",375112.0
Madera Disposal Systems,17973.0
Municipality of Fajardo,30584.0
Avant Energy,152506.0
"Fauquier County, Virginia",65323.0
"Felman Production, Inc.",129292.0
Fibrek U.S. Inc.,54334.0
FUEL,146180.0
"Advanced BioEnergy, LLC",172664.0
Petrologistics,198937.0
"Cemex Construction Materials Florida, LLC - Central Power and Lime, LLC",731191.0
Florida State University,29225.0
"Buckeye Technologies, Inc.",198407.0
Mazda Motor Corporation,23795.0
"Constellation Mystic Power, LLC",5335352.0
Town of Babylon,45366.0
MillerCoors LLC,433347.0
"Fortistar North Tonawanda, Inc.",20224.0
The City of New York c/o DEP Bureau of Wastewater Treatment,16300.0
"Hoosier Energy REC, Inc.",7807079.0
Dayton Power and Light Company,17401306.0
County of Orange,819179.0
Atlantic Power,324751.0
"Southwestern Electric Cooperative, Inc.",2795.0
Freeport Electric,31314.0
Village of Freeport,31314.0
"Freeport McMoRan Copper & Gold, Inc.",26083.0
"Wellhead Power Gates, LLC",9424.0
Colorado Springs Utilities,4180077.0
FUJIFILM Holdings America Corporation,31823.0
Fulton County Georgia,26732.0
INNOVIA FILMS INC,42156.0
FutureFuel Corporation,149775.0
Horsehead Holding Corp.,1356153.0
"Gallatin County, Montana",25268.0
Gallia County Commissioners,61546.0
E&J Gallo Winery INC.,131170.0
"Western Refining, Inc.",1294807.0
City of Boston,23295.0
Garrett County General Services Department,42332.0
Gaston County Government,60592.0
Suncoke Energy,581093.0
"GBC Metals, LLC",46592.0
"Dynamic Offshore Resources, LLC",64880.0
GCC America,494530.0
"CEMEX,Inc.",475500.0
"GCC Rio Grande, Inc.",456288.0
GCC A,244863.0
General Electric Corporation,25454.0
City of Modesto,21282.5
"County of Stanislaus, CA",21282.5
GELITA North America Inc.,25820.0
Genentech Incorporated,37691.0
General Electric Aviation,64920.0
General Mills,55625.0
Geneva Nitrogen LLC,76429.0
Municipality of Anchorage,633861.0
Georgia Pacific LLC,520581.0
Nestle USA,36606.0
Gerdau Ameristeel US Inc,412187.0
"GNA Financing, INC",34477.0
Gerdau Ameristeel U.S. Inc.,94591.0
Gerdau Ameristeel US Inc.,25884.0
Gerdau Macsteel Inc.,112636.0
Gerresheimer Glass Inc,32261.0
Apache Corporation,21316.5
Procter & Gamble,88768.0
City of Glasgow,76450.0
GlaxoSmithKline LLC,34928.0
Global Tungsten & Powders Corp.,50490.0
IBM Corporation,102926.0
"Globe Specialty Metals, Inc.",667472.79
Globe Specialty Metals Inc,475148.0
Gloucester County Improvement Authority,213999.0
"AES Eastern Energy,LP",269956.0
"GM Cereals Properties, LLC",41654.0
Crosstex CCNG Processing Ltd.,40707.0
"Golden Grain Energy, LLC",168967.0
Golden Triangle Energy,55151.0
Golden Triangle Regional Solid Waste Management Authority,152750.0
Golden Valley Electric Association,608851.0
"Besse Forest Products, Inc.",540.0
Goodrich Corporation,25033.0
"Goodway Refining, LLC",9554.0
The Goodyear Tire & Rubber Company,534281.0
"The Goodyear Tire & Rubber Company, Inc.",47743.0
The Goodyear Tire & Rubber Co.,56556.0
"The Goodyear Tire & Rubber Company, Inc",47267.0
"Gopher Resource, LLC",60651.0
W.R. Grace& Co.-Conn.,100396.0
W.R. Grace & Co.-Conn.,141783.0
GrafTech International LTD,25689.0
Muscatine Foods Corporation,849253.0
"Granger Associates, LLC",95508.29999999999
"Granite Falls Energy, LLC",71694.0
"Grant County, Washington",32601.0
"National Oilwell Varco, LP",19683.0
Graphic Packaging Holding Company,564508.0
"Graymont, Inc.",3239089.0
Chemtura Corporation,44023.0
Great River Regional Waste Authority,44437.0
Greater Lebanon Refuse Authority,24471.0
Grede Holdings LLC,28436.0
Grede LLC,65474.0
"DCP MIDSTREAM PARTNERS, LP",40747.0
Green Bay Packaging Inc.,100795.0
"Green Bay Packaging, Inc.",61174.0
INEOS USA LLC,2718318.0
Green Plains,169683.0
Green Plains Renewable Energy Inc,210385.0
Green Plains Renewable Energy Inc.,166080.0
Green Plains Renewable Energy,77.0
"Green Plains Renewable Energy, Inc.",431191.0
Green Valley Chemical Co.,58889.0
City of Tyler,57738.0
Greif Inc.,111788.0
"Sandridge Energy, Inc.",868477.0
"Griffin Pipe Products Co., Inc.",67968.0
Griffin Pipe Products,55449.0
"GlaxoSmithKline, LLC",6729.0
Guam Power Authority,692158.0
"Guardian Energy, LLC",157816.0
"Guardian Industries, Corp",102397.0
Guardian Industries Corp,365479.0
guardian industries corp,58830.0
Guardian Industries Corp.,280335.0
GULFPORT ENERGY CORP,35254.0
"GWF Power Systems, L.P.",758566.0
GWF Power Systems L.P.,190716.0
Sunflower Electric Power Corporation,2701637.0
Northern Star Generation Services,172971.0
City of Gary,50422.0
PLAINS ALL AMERICAN GP LLC,80773.0
Geneva Energy LLC,39421.0
"Georgetown County, South Carolina",26740.0
TIN Inc. dba Temple-Inland,72901.0
"Gerdau Ameristeel US, Inc",45846.0
Gerdau Special Steel North America,53091.0
Texas Municipal Power Agency,6767581.0
"Glanbia Foods, Inc.",35910.0
GlaxoSmithKline,29563.0
"Montana-Dakota Utilities, Co.",6150.0
National Grid Glenwood Energy Center,55976.0
"DB Goal Line, LLC",91173.06
"Arroyo Energy, LP",920.94
South Beaumont Farms,101503.0
"Gordon County, GA",86989.0
"Patriarch Partners, LLC",59598.0
Luminant generation Company LLC,305319.0
Grand Island Area Solid Waste Agency,71423.0
Grand River Dam Authority,5756322.4
"Granite Ridge Energy, LLC",1312809.0
American Bituminous Power Partners,728492.0
"Graphic Packaging International, Inc.",121340.0
"Graphic Packagine International, Inc.",133324.0
Pennsylvania State Department of Corrections,53723.0
IOTC,19494.0
Western Lime Corporation,864357.0
"Veolia Environnement North America Operations, Inc",825608.0
Invenergy Investment Company LLC,240645.5
"Stark Power Generation I Holdings, LLC",240645.5
City of Glendale - Water and Power,71201.0
Great Lakes Gas Transmission Limited Partnership,719278.0
Statoil Gulf of Mexico LLC,16433.5
"TOTAL E and P USA, INC",11174.78
J-Power USA Development Co. ltd,980374.0
"NEDAK Ethanol, LLC",61559.0
"BioFuel Energy, LLC",358431.0
"Abengoa Bioenergy US Holding, Inc",196493.0
"Abengoa Bioenergy Maple, LLC",159070.0
Abengoa Bioenergy Corpopration,112700.0
"AES Eastern Energy, LP",588360.0
Buckeye Power Company,32560.0
Greenwood County,25487.0
"Gregory Power Partners, LP",1629684.0
"Greif, Inc",63415.0
Municipality of Guaynabo,64133.0
Montgomery County Division of Solid Waste Services,78917.0
Loews Corporation,1134121.0
City of Atlanta,79426.0
Accuride Corportion,55104.0
East Kentucky Power Cooperative,11924721.0
University of Texas at Austin,223963.0
"Great Point Power Hamakua Holdings, LLC",165992.0
City of Hampton,129158.0
Hancock County Landfill,84658.0
City of Winston-Salem,23999.0
Lehigh Hanson Inc.,1254307.0
"CASELLA WASTE SYSTEMS, INC",2110.0
Harford County Government,71684.0
St. Mary Parish Government,92832.0
City of Hastings,35635.0
"Sunoco, Inc.",1689492.0
"Hawaii Electric Light Company, Inc.",466167.0
"Alexander & Baldwin, Inc.",144968.0
"Hawaiian Electric Company, Inc.",3614261.0
"Hayes Landfill, Inc",64661.0
"Haynes International, Inc.",55875.0
U. S. Government,118406.0
Heartland Corn Products,164171.0
Henderson County,9034.0
Henrico County Department of Public Works,39113.0
"Henry County, Board of Commissioners",30518.0
CHEVRON U.S.A. INC.,37490.0
RC Lonestar Inc.,1423888.0699999998
Hercules Cement Holding Company,5903.93
Ashland Inc.,219844.0
"Heritage Environmental Services, LLC.",1801.0
Sumitomo Corporation of America,630506.5
"Hernando County, Fl",48119.0
"Heron Lake BioEnergy, LLC",160572.0
Hexcel Corporation,55876.0
Momentive Performance Materials Holdings LLC,251497.0
City of Hibbing,225632.0
High Sierra Limited,24385.0
Riverside County,46392.0
"Highwater Ethanol, LLC",76230.0
"Hill-Lake Gas Storage, LLC",30642.0
Fortistar,33496.0
Hillsborough County Board of County Commissioners,7208.0
Hilmar Cheese Company,68973.0
Lexington County Public Works Department,29491.0
Henderson Municipal Power and Light,2357185.0
Hoeganaes Corporation,58765.0
City of Toledo,63437.0
"Roche Holdings, Inc.",58070.0
", Inc.",728309.0
INC,415264.0
Inc,916794.0
Enbridge US Inc.,34554.0
Southern Minnesota Beet Sugar Cooperative,469995.0
Frontier Refining & Marketing,2082637.0
HollyFrontier Corporation,2469943.0
BAE SYSTEMS HOLDINGS INC.,134847.0
"Homeland Energy Solutions, LLC",194927.0
AMERICAN HONDA MOTOR CO INC,48295.0
Honeywell International Incorporated,70797.0
Hormel Foods Corporation,71153.0
Horry County Solid Waste Authority,78703.0
Houston County Board of Commissioners,58103.0
HP Hood LLC,25366.0
Hunt Consolidated Inc.,410940.0
"Hunt Consolidated, Inc.",31531.0
NORESCO,25308.0
Precision Castparts Corporation,87531.0
"HUNTINGTON INGALLS INDUSTRIES, INC.",78582.0
Huntsman Petrochemical LLC,58337.0
Huntsman International LLC,1366425.0
Cove Landfill of Bad Axe Inc,51286.0
"Huron Real Estate Associates, LLC.",46235.0
"Husker Ag, LLC",90267.0
"HYUNDAI MOTOR MANUFACTURING ALABAMA, LLC",31519.0
"Hall County, Georgia",83049.0
United Technologies Corporation,190112.0
City of Hamilton,216054.0
"GWF Energy, LLC",25459.0
Hanford L.P.,222948.0
"City of Los Angeles, Department of Water and Power",2946516.0
Hardin County Fiscal Court,110347.0
"East Texas Electrical Cooperative, Inc.",37745.0
Northeast Maryland Waste Disposal Authority,69341.0
Chesapeake Energy Corporation,280560.0
Northeast Texas Electric Cooperative,245408.90000000002
"East Texas Electric Cooperative, Inc.",200789.1
City of Tucson,56353.0
DCO Energy,41668.0
SOUTH JERSEY INDUSTRIES INC,41668.0
Connecticut Resources Recovery Authority,380307.0
Hawkeye Energy Greenport,27731.0
"Great Plains Energy, Inc.",7720239.0
"Lakeside Energy, LLC",5082.0
"AER NY-Gen, LLC",1521.0
KGen Power Corporation,799362.0
"Enterprise Products Operating, LLC",923803.0
"Lea Power Partners, LLC",1222977.0
Inc. - Corporate Office,731697.0
Hoosier Energy,148641.0
Wabash Valley Power,148641.0
Hollingsworth & Vose,38458.0
KeySpan Gas East Corporation,2857480.0
National Grid Generation LLC,79764.0
EDISON INTERNATIONAL,10172492.0
"KPAQ Industries, LLC",49115.0
IPR-GDF Suez Energy North America,629216.0
City of Richland,37990.0
OGE Energy Corporation,19317614.21
Terrebonne Parish Consolidated Government,124248.0
City of Vineland,9955.0
Public Service Enterprise Group Incorporated,2187452.0
"UGI Energy Services, Inc.",176402.0
NorthWestern Corporation,2085.0
Hutchinson Utilities Commission,5132.0
Fairfax County Government,80917.0
International Automotive Components,39766.0
ICL Performance Products LP,44269.0
IESI Corporation,660000.0
PROGRESSIVE WASTE SOLUTIONS LTD,47300.0
International Flavors and Fragrances Inc.,29612.0
"MGP Ingredients, Inc.",71421.5
"SEACOR Holdings, Inc.",71421.5
State of Illinois,31440.0
Imerys Carbonates LLC,32500.0
Imerys Clays Inc.,38403.0
Imerys Clays Inc,45861.0
"Indeck Energy Services, Inc.",6008.0
"City of Independence, Missouri",62307.0
Indian River County,21193.0
Indiana University,184764.0
Corporation,191568.03999999998
"INEOS NOVA, LLC",322969.0
MeadWestvaco Corporation,2171592.0
"Ingomar Packing Company, LLC",67.0
PENFORD CORP,123991.0
Cowles Publishing Company,11402.0
Horsehead corporation,61292.0
Intel Copororation,36061.0
Intel Corporation,66500.0
International Matex Tank Terminals,38691.0
Tube City IMS,416.0
Temple Inland,162880.0
International Paper,4443472.0
"The International Group, Inc.",159833.0
"Interstate Resources, Inc.",40266.0
"Intrepid Potash, Inc.",69925.0
"Intrepid Potash, Inc",11082.0
"KOCH INDUSTRIES,INC.",123566.0
"KOCH INDUSTRIES, INC.",88772.0
Loders Croklaan USA LLC,32871.0
City of Iowa City,38273.0
Iowa Ethanol LLC D.B.A. POET Biorefining - Hanlontown,84347.0
Iowa State University,331111.0
IPSCO Tubulars Inc.,99398.0
Iredell County,86828.0
City of Johnson City,67288.0
Pinal County,34206.0
Pinal County,34206.0
"Iroquois Gas Transmission System, LP",61216.0
Isolatek International,25901.0
ISP CHEMCO LLC,100046.0
ISP Chemicals LLC,107541.0
"International Specialty Products, Inc.",30953.0
"The Empire District Electric, CO",807918.84
"World Minerals, Inc.",54939.0
Indeck-Corinth Limited Partnership,267106.0
Indeck Energy Services Inc.,128058.0
Indeck-Oswego Limited Partnership,4629.0
"Indeck Energy Services of Silver Springs, Inc.",6179.0
Indeck-Yerkes Limited Partnership,35093.0
Dynegy Inc.,1404566.0
SunCoke Energy,818994.0
CALYPSO ENERGY HOLDING LLC,1517864.0
Diamond Generating Corporation,63808.0
"Corn Prodcuts International, Inc.",34576.0
Corn Products International,1012486.0
"Inland Empire Energy Center, LLC",1312275.0
Intermountain Power Agency,12013257.0
Weyerhaeuser NR Company,243444.0
Weyerhaeuser Company,558064.0
International Paper Company,1598552.0
"TIN, Inc., dba Temple Inland",227503.0
Temple-Inland,661469.0
"PPL Ironwood Holdings, LLC",1501193.0
Energetix LLC,73060.0
WPPI Energy,13546.0
Burlington Electric Department,5840.5
CPS Energy,14114189.0
J. R. Simplot Company,37679.0
J.R. Simplot Company,88642.0
City of Lubbock Texas,136933.0
Lincoln Electric System,64886.0
Grand Haven Board of Light & Power,604399.0
"Omni Waste of Osceola County, LLC",270614.0
J.G. Boswell Company,42281.0
J.M. Huber Corporation,41198.0
"Thermo Cogeneration Partnership, L.P.",442811.0
"Energy Transfer Partners, LP",35179.0
"Jackson County, Michigan",23328.0
"Southern Union Gas Services, Ltd.",257998.0
City of Janesville,53776.0
JBS USA LLC,166737.0
JBS USA,675912.02
Cargill inc,29263.0
Jefferson Davis Landfill Commission,9433.0
Jefferson Parish Government,55927.0
"CM Holdings, Inc.",34725.0
Yukon-Nevada Gold Corp.,106620.0
Fortune Brands Inc.,36896.0
Fortune Brands Corp.,27159.0
Deere & Company,135294.0
The Johns Hopkins University,24960.0
Berkshire Hathaway,135460.0
Johnston County Department of Public Utilities,99062.0
J.R. Simplo Company,97640.0
"Wellspring Capital Management, LLC",52876.0
JX Nippon Oil and Energy,45590.0
"Brazos Electric Power Cooperative, Inc.",2081342.0
